id,acronym,expansion
1112,ifm,in fond memory
1113,igi,i get it
1114,igm,i got mine
1115,igmc,i will get my coat
1116,ign,in game name
1117,ignb,i am going now bye
1118,ignts,i have got nothing to say
1119,igs,i guess so
1120,igtg,i got to go
1121,igu,i give up
1122,igwt,in god we trust
1123,igy,i get you
1124,igyb,i have got your back
1125,ih8u,i hate you
1126,ihac,i have a customer
1127,ihdk,i honestly do not know
1128,ihm,i hate mondays
1129,ihml,i hate my life
1130,ihnc,i have no clue
1131,ihni,i have no idea
1132,iho,in honor of
1133,ihop,international house of pancakes
1134,ihp,i hate people
1135,ihs,i hope so
1136,iht,i hate this
1137,ihy,i hate you
1138,ihydm,i hope you do not mind
1139,ihysm,i hate you so much
1140,iib,ignorance is bliss
1141,iifym,if it fits your macros
1142,iih,if i am honest
1143,iil,i am in love
1144,iinm,if i am not mistaken
1145,iir,idiot in room
1146,iirc,if i remember correctly
1147,iis,internet information services
1148,iituwutmas,if i tell you will you tell me a secret
1149,iitwi,in it to win it
1150,iitywimiwhtky,if i tell you what it means i will have to kill you
1151,iitywtmwybmad,if i tell you what this means will you buy me a drink
1152,iitywtmwykm,if i tell you what this means will you kiss me
1153,iitywybmad,if i tell you will you buy me a drink
1154,iiuc,if i understand correctly
1155,iiwii,it is what it is
1156,iiwy,if i were you
1157,ij,i am joking
1158,ijaf,it is just a fact
1159,ijdk,i just do not know
1160,ijg,i just giggled
1161,ijk,i am just kidding
1162,ijl,i just laughed
1163,ijs,i am just saying
1164,ijwtk,i just want to know
1165,ijwts,i just want to say
1166,ik,i know
1167,ikh,i know huh
1168,ikhyf,i know how you feel
1169,ikly,i kind of like you
1170,ikm,i know man
1171,ikmty,i know more than you
1172,ikn,i know not
1173,ikr,i know right
1174,ikt,i knew that
1175,iktf,i know the feeling
1176,iktr,i know that is right
1177,ikwum,i know what you mean
1178,ikwydls,i know what you did last summer
1179,ikwyl,i know where you live
1180,ikwym,i know what you mean
1181,iky,i know you
1182,ikyp,i will keep you posted
1183,il,in love
1184,ild,"ich liebe dich "
1185,ilh,i love him or her
1186,ili,i love it
1187,ilm,i lige m
1188,ilml,i love my life
1189,ilmo,in loving memory of
1190,ilny,i love new york
1191,ils,inflated lat syndrome
1192,ilt,i like that
1193,ily,i love you
1194,ily2,i love you too
1195,ilya,i love you all
1196,ilyaaf,i love you as a friend
1197,ilyam,i love you as a mate
1198,ilyb,i love you both
1199,ilyf,i will love you forever
1200,ilyg,i love you guys or girls
1201,ilyk,i will let you know
1202,ilyl,i love you lots
1203,ilylas,i love you like a sister
1204,ilylt,i love you long time
1205,ilym,i love you more
1206,ilysdm,i love you so damn much
1207,ilysm,i love you so much
1208,ilysmb,i love you so much baby
1209,ilysmm,i love you so much more
1210,ilyt,i love you too
1211,ilytb,i love you to bits
1212,ilyvm,i love you very much
1213,ilywamh,i love you with all my heart
1214,im,instant message
1215,imaho,in my absolutely honest opinion
1216,imao,in my arrogant opinion
1217,imap,internet message access protocol
1218,imbo,in my biased opinion
1219,imco,in my considered opinion
1220,imd,in my defence
1221,imdb,internet movie database
1222,ime,in my experience
1223,imeo,in my educated opinion
1224,imf,international monetary fund
1225,imh,in my head
1226,imho,in my humble opinion
1227,imk,in my knowledge
1228,immao,in my most arrogant opinion
1229,immd,it made my day
1230,imml,it made me laugh
1231,imnsho,in my not so humble opinion
1232,imo,in my opinion
1233,imoo,in my own opinion
1234,imp,it is my pleasure
1235,impo,in my personal opinion
1236,imr,i mean really
1237,ims,irritable male syndrome
1238,imsmr,if memory serves me right
1239,imu,i miss you
1240,imusm,i miss you so much
1241,imvu,instant messaging virtual universe
1242,imwtk,inquiring minds want to know
1243,imy,i miss you
1244,imya,i miss you already
1245,imym,i miss you more
1246,imysm,i miss you so much
1247,imyt,i miss you too
1248,inah,i need a hug
1249,inb,i am not bothered
1250,inbd,it is no big deal
1251,incydk,in case you did not know
1252,inpo,in no particular order
1253,inrs,it is not rocket science
1254,ins,i am not sure
1255,intk,i need to know
1256,intp,"introverted intuitive thinking perceiving "
1257,invu,i envy you
1258,inwly,i never want to lose you
1259,iny,i need you
1260,ioab,i am on a boat
1261,ioc,international olympic committee
1262,ioh,i am outta here
1263,ioi,indication of interest i am over it
1264,ioic,if only i could
1265,iokiyar,it is okay if you are a republican
1266,iom,isle of man
1267,iomw,i am on my way
1268,ion,in other news
1269,iou,i owe you
1270,iow,in other words
1271,ioyk,if only you knew
1272,ip,internet protocol intellectual property
1273,ipa,india pale ale internet protocol address
1274,ipc,ignore post count
1275,ipo,initial public offering
1276,iq,intelligence quotient
1277,ir,infrared injured reserve
1278,ira,irish republican army
1279,irah,insert relevant acronym here
1280,irc,internet relay chat
1281,irdc,i really do not care
1282,irdk,i really do not know
1283,irl,in real life
1284,irly,i really like you
1285,irmc,i rest my case
1286,irs,internal revenue service
1287,isb,i am so bored
1288,isbn,international standard book number
1289,isdk,i simply do not know
1290,isdn,integrated services digital network
1291,ishk,i should have known
1292,isly,i still love you
1293,iso,in search of
1294,isp,internet service provider
1295,iss,international space station i am so sorry
1296,issn,international standard serial number
1297,istatoy,i saw this and thought of you
1298,istg,i swear to god
1299,istm,it seems to me
1300,istr,i seem to recall
1301,iswydt,i see what you did there
1302,iswym,i see what you mean
1303,it,information technology
1304,ita,i totally agree
1305,itai,i will think about it
1306,italy,i trust and love you
1307,itc,in this channel in that case
1308,itf,in the future
1309,itg,in the groove
1310,itiailwy,i think i am in love with you
1311,itiky,i think i know you
1312,itilu,i think i love you
1313,itily,i think i love you
1314,itk,in the know
1315,itm,in the mouth
1316,itma,it is that man again
1317,itn,i think not
1318,ito,in terms of
1319,itoy,i am thinking of you
1320,itp,inside the perimeter
1321,its,i think or thought so
1322,itso,in the style of
1323,itt,in this thread
1324,ittet,in these tough economic times
1325,itv,"independent tv "
1326,itwym,is that what you mean
1327,ityf,i think you will find
1328,ityl,i will tell you later
1329,itym,i think you mean
1330,itys,i told you so
1331,ivf,in vitro fertilization
1332,iwaly,i will always love you
1333,iwbb,i will be back
1334,iwc,internet wrestling community
1335,iwhi,i would hit it
1336,iwid,it is what i do
1337,iwik,i wish i knew
1338,iwiwt,i wish i were there
1339,iwm,it was not me
1340,iwoot,i want one of those
1341,iwtd,i want to die
1342,iwy,i want you
1343,iyam,if you ask me
1344,iybtyba,if you believe that you will believe anything
1345,iyd,in your dreams
1346,iydk,if you did not know
1347,iydm,if you do not mind
1348,iyf,in your face
1349,iygm,if you get me
1350,iyh,in your head
1351,iykwim,if you know what i mean
1352,iyl,if you are lucky it is your life
1353,iyo,in your opinion
1354,iyss,if you say so
1355,iyswim,if you see what i mean
1356,iytt,if you think that
1357,iyw,if you want or will
1358,iyww,if you were wondering
1359,j,joking
1360,jaf,just a friend
1361,jafa,just another fucking aucklander
1362,japan,just always pray at night
1363,jas,just a second
1364,jat,just a thought
1365,jatq,just answer the question
1366,jb,jail bait jonas brothers
1367,jbh,just being honest
1368,jbt,jack booted thug
1369,jbu,just between us
1370,jby,just be yourself
1371,jc,jesus christ just curious just chilling
1372,jcb,"j c bamford "
1373,jd,jack daniels
1374,jdi,just do it
1375,jdlr,just does not look right
1376,jdm,japanese domestic market
1377,jff,just for fun
1378,jfk,john fitzgerald kennedy new york airport just for kicks
1379,jfn,just for now
1380,jft,just for today
1381,jftr,just for the record
1382,jfy,just for you
1383,jfyi,just for your information
1384,jg,juicy gossip
1385,jgb,just got back
1386,jgh,just got home
1387,jgi,just google it
1388,jgl,just get lost
1389,jhc,jesus h christ
1390,jhp,"jacketed hollow point "
1391,jic,just in case
1392,jicydk,just in case you did not know
1393,jj,just joking
1394,jk,just kidding
1395,jkd,"jeet kune do "
1396,jlmk,just let me know
1397,jls,"jack the lad swing "
1398,jlt,just like that
1399,jluk,just letting you know
1400,jly,jesus loves you
1401,jlyk,just letting you know
1402,jm,just messing
1403,jma,just messing around
1404,jmho,just my humble opinion
1405,jml,just my luck
1406,jmo,just my opinion
1407,jms,just making sure
1408,jmt,just my thoughts
1409,jn,just now
1410,jooc,just out of curiosity
1411,jp,just playin
1412,jpa,just playing around
1413,jpeg,joint photographic experts group image file format
1414,jrotc,junior reserve officer training corps
1415,jrpg,japanese role playing game
1416,js,just saying
1417,jsmn,just shoot me now
1418,jsp,java server pages
1419,jsu,just shut up
1420,jsyk,just so you know
1421,jtb,just too bad
1422,jtc,join the club
1423,jtlyk,just to let you know
1424,jtol,just thinking out loud
1425,jtoy,just thinking of you
1426,jtty,just to tell you
1427,jtusk,just thought you should know
1428,juad,jumping up and down
1429,jv,junior varsity amateur
1430,jw,just wondering
1431,jwas,just wait and see
1432,jwd,job well done
1433,jwg,just a wild guess
1434,jwtk,just wanted to know
1435,jwtlyk,just wanted to let you know
1436,jwu,just woke up
1437,jww,just was wondering
1438,kafm,keep away from me
1439,kcaco,keep calm and carry on
1440,kcco,keep calm and chive on
1441,kd,kraft dinner
1442,kdr,kill or death ratio
1443,kf,kind of funny
1444,kfc,kentucky fried chicken
1445,kgb,russian secret police
1446,kh,"kingdom hearts "
1447,khyf,know how you feel
1448,kia,killed in action know it all
1449,kicks,shoes thrills
1450,kig,keep it gangsta
1451,kim,keep it moving
1452,kio,knock it off
1453,kip,sleep bed
1454,kir,keepin it real
1455,kirf,keeping it real fake
1456,kis,keep it simple
1457,kisa,knight in shining armour
1458,kiss,keep it simple stupid
1459,kit,keep in touch
1460,kiu,keep it up
1461,kiv,keep in view
1462,kkk,ku klux klan
1463,kkkk,korean lol
1464,km,keep mum
1465,kmfc,keeping my fingers crossed
1466,kml,killing myself laughing
1467,kmn,kill me now
1468,kmp,keep me posted
1469,kmt,kiss my teeth
1470,kmu,keep me updated
1471,kod,kiss of death
1472,kos,kill on sight
1473,kotc,kiss on the cheek
1474,koth,"king of the hill "
1475,kotl,kiss on the lips
1476,kotor,"knights of the old republic "
1477,kp,korean pride
1478,kpc,keep parents clueless
1479,kpg,keep the party going
1480,kpi,key performance indicator
1481,kr,kind regards
1482,kro,keep right on
1483,ks,kill steal
1484,ktbffh,"keep the blue flag flying high "
1485,ktbspa,keep the backstreet pride alive
1486,ktf,keep the faith
1487,kwim,know what i mean
1488,kwis,know what i am saying
1489,kyfc,keep your fingers crossed
1490,kyo,knock yourself out
1491,kyp,keep you posted
1492,lafs,love at first sight
1493,lak,love and kisses
1494,lal,laughing a lot or little
1495,lalb,laughing a little bit
1496,lam,leave a message run
1497,lamn,look at me now
1498,lan,local area network
1499,lapd,los angeles police department
1500,larp,live action role play
1501,lart,luser attitude readjustment tool
1502,laser,light amplification by stimulated emission of radiation
1503,lat,living apart together
1504,latm,laughing at the moment
1505,lbc,long beach california
1506,lbd,little black dress
1507,lbdn,look busy doing nothing
1508,lbh,let us be honest loser back home
1509,lbm,little big man
1510,lbnl,last but not least
1511,lbr,loser beyond repair
1512,lbrs,"lower blackrock spire "
1513,lbvs,laughing but very serious
1514,lbw,"leg before wicket "
1515,lc,lower case
1516,lcd,liquid crystal display
1517,lcts,let us change the subject
1518,ld,"link dead "
1519,lda,long distance affair
1520,ldh,long distance hug
1521,ldi,let us do it
1522,ldl,long distance lover
1523,ldo,like duh obviously
1524,ldr,long distance relationship
1525,lds,latter day saint
1526,le,limited edition law enforcement
1527,lec,local exchange carrier
1528,led,light emiting diode
1529,leo,law enforcement officer
1530,lev,low emission vehicle
1531,lf,looking for
1532,lf1m,looking for one more
1533,lfdy,live fast die young
1534,lfg,looking for group
1535,lfm,looking for more
1536,lfmf,learn from my fail
1537,lfp,"looking for party "
1538,lfti,looking forward to it
1539,lftsu,look forward to seeing you
1540,lfw,looking for work
1541,lg,little girl
1542,lgbtq,lesbian gay bisexual trans questioning
1543,lgd,let us get drunk
1544,lgfb,looks good from behind
1545,lgmh,love gives me hope
1546,lgo,life goes on
1547,lgt,"link goes to "
1548,lgtm,looks good to me
1549,lh,living hell
1550,lhh,laughing hella hard
1551,lhk,love hugs and kisses
1552,lhm,lord have mercy lord help me
1553,lhyw,like hell you will
1554,li,laughing inside
1555,lifo,last in first out
1556,lig,let it go
1557,lih,laugh in head
1558,lihop,let it happen on purpose
1559,liita,love is in the air
1560,lilaboc,life is like a box of chocolates
1561,limb,laughing in my brain
1562,limh,laughing in my head
1563,limm,laughing in my mind
1564,lirl,laughing in real life
1565,lis,laughing in silence
1566,lits,life is too short
1567,liu,look it up
1568,ljbf,let us just be friends
1569,ll,laugh loudly lol
1570,llap,live long and prosper
1571,llc,limited liability company laughing like crazy
1572,llh,laughing like hell
1573,lll,loony liberal left
1574,llttf,living life to the fullest
1575,lm,loud mouth
1576,lma,leave me alone
1577,lmad,let us make a deal
1578,lmam,leave me a message
1579,lmap,leave me alone please
1580,lmc,let me check
1581,lmco,laughing my cats off
1582,lmg,light machine gun
1583,lmgtfy,let me google that for you
1584,lmho,laughing my head off
1585,lmirl,let us meet in real life
1586,lmk,let me know
1587,lml,love my life
1588,lmpo,laughing my pants off
1589,lmr,last minute resistance
1590,lms,like my status last man standing
1591,lmso,laughing my socks off
1592,lmt,let me think
1593,lmtal,let me take a look
1594,lnf,lifes not fair
1595,lnib,like new in box
1596,lnt,leave no trace
1597,loa,leave of absence
1598,lol,laughing out loud
1599,lolak,lots of love and kisses
1600,loll,laugh out loud literally
1601,lolol,lots of laughing out loud
1602,lolv,lots of love
1603,lomb,lying on my bed
1604,loml,love of my life
1605,lomo,lights out missionary only
1606,lool,laughing outlandishly out loud
1607,loq,laugh out quietly
1608,lorl,laugh out really loud
1609,los,line of site
1610,lotd,link of the day
1611,loti,laughing on the inside
1612,lotr,lord of the rings
1613,lotro,"lord of the rings online "
1614,lovl,laughing out very loud
1615,loyol,live out your own life
1616,loz,legend of zelda
1617,lp,"long play "
1618,lpg,liquefied petroleum gas
1619,lpt,life pro tip
1620,lqi,laughing quietly inside
1621,lql,laughing quite loudly
1622,lqtm,laughing quietly to myself
1623,lqtms,laughing quietly to myself
1624,lqty,laughing quietly to yourself
1625,lrf,low resolution fox
1626,lrg,"lifted research group "
1627,lrl,laughing really loud
1628,lsat,law school admission test
1629,lse,london school of economics low self esteem
1630,lsh,laughing so hard
1631,lshic,laughing so hard i am crying
1632,lshidmt,laughing so hard i drop my taco
1633,lshmbh,laughing so hard my belly hurts
1634,lsi,limited social interaction
1635,lsmft,lucky strike means fine tobacco
1636,lsmih,laughing so much it hurts
1637,lsp,love sick puppy
1638,lss,last song syndrome
1639,lstm,laughing silently to myself
1640,lta,love to all
1641,ltb,looking to buy
1642,ltd,live or living the dream
1643,ltg,learn to google
1644,lth,love truth honor
1645,ltic,laugh til i cry
1646,ltl,living the life
1647,ltm,laughing to myself
1648,ltma,less talk more action
1649,ltmq,laughing to myself quietly
1650,ltms,laughing to myself
1651,ltnc,long time no chat
1652,ltns,long time no see
1653,ltnt,long time no talk
1654,ltp,lost the plot
1655,ltr,long term relationship
1656,lts,laugh to self
1657,lty,laugh to yourself
1658,lui,living under the infuence
1659,lul,lame uncomfortable laugh
1660,lulab,love you like a brother
1661,lulas,love you like a sister
1662,lv,louis vuitton las vegas level
1663,lw,lucky win
1664,lwicd,look what i can do
1665,lwkm,"laugh wan kill me "
1666,lwkmd,laugh wan kill me die
1667,lwm,laugh with me
1668,lwp,laughing with passion
1669,lwt,look who is talking
1670,lwwy,live while we are young
1671,ly,love you
1672,lya,love you always
1673,lyaaf,love you as a friend love you always and forever
1674,lyb,love you bye
1675,lyf,love you forever
1676,lyk,let you know
1677,lyl,love you lots
1678,lylab,love you like a brother
1679,lylaf,love you like a friend
1680,lylas,love you like a sister
1681,lylc,love you like crazy
1682,lylmb,love you like my brother
1683,lylt,love you long time
1684,lym,love you more
1685,lymi,love you mean it
1686,lymy,love you miss you
1687,lymywy,love you miss you want you
1688,lyr,love you really
1689,lysm,love you so much
1690,lyt,love you too
1691,lytd,love you to death
1692,lz,landing zone
1693,ma,mom alert master of arts
1694,maab,male assigned at birth
1695,mac,media access control macintosh
1696,madd,mothers against drunk driving
1697,mapoti,most annoying people on the internet
1698,mas,mildly amused smirk
1699,maw,might as well
1700,mawoy,may angels watch over you
1701,mba,masters of business association married but available
1702,mbd,my bad dudes
1703,mbf,my best friend
1704,mbfam,my brother from another mother
1705,mbm,married black male
1706,mbn,must be nice
1707,mbo,must be off management buy out
1708,mbps,megabits or bytes per second
1709,mbr,master boot record
1710,mbt,"masai barefoot technology "
1711,mbw,married black woman
1712,mc,master of ceremonies
1713,mcl,much clown love
1714,mcm,man crush monday
1715,mcp,male chauvanist pig
1716,mcr,"my chemical romance "
1717,mcw,man crush wednesday
1718,mdf,medium density fiberboard
1719,mdk,murder death kill
1720,mdr,"mort de rire "
1721,mdw,memorial day weekend
1722,mego,my eyes glazed over
1723,mfc,mildly fat chick microsoft foundation classes
1724,mfeo,made for each other
1725,mfg,"mit freundlichen gruessen "
1726,mfl,marked for later
1727,mfw,"my face when "
1728,mgby,may god bless you
1729,mgd,miller genuine draft
1730,mgk,machine gun kelly
1731,mgm,male genital mutilation
1732,mgmt,"the management "
1733,mgo,"metal gear online "
1734,mgs,"metal gear solid "
1735,mh,map hack
1736,mhbfy,my heart bleeds for you
1737,mho,my honest opinion
1738,mhoty,my hats off to you
1739,mhr,many happy returns
1740,mi6,military intelligence service 6
1741,mia,missing in action
1742,mib,men in black mint in box
1743,midi,musical instrument digital interface
1744,miga,make it go away
1745,mih,make it happen
1746,mihop,made it happen on purpose
1747,mil,mother in law
1748,mimo,multiple input multiple output
1749,mip,minor in possession
1750,mips,million instructions per second
1751,mirl,meet in real life
1752,misb,mint  in sealed box
1753,miso,my internet shut off
1754,mj,michael jackson michael jordan marijuana
1755,mlas,my lips are sealed
1756,mlb,major league baseball
1757,mlg,major league gaming
1758,mlia,my life is average
1759,mlib,my life is bro
1760,mlig,my life is great or good
1761,mlim,my life is magic
1762,mlm,"multi level marketing middle finger "
1763,mlp,my little pony
1764,mls,my life sucks
1765,mltr,multiple long term relationships
1766,mlyp,much like your post
1767,mm,married man
1768,mm2,"message mode 2 "
1769,mma,meet me at
1770,mmamp,meet me at my place
1771,mmao,make me an offer
1772,mmc,multimedia card
1773,mmd,make my day
1774,mmh,meet me halfway
1775,mmi,me myself and i
1776,mml,made me laugh
1777,mmofps,massively multiplayer online first person shooter
1778,mmorpg,massively multiplayer online role playing game
1779,mms,multimedia messaging service
1780,mmt,makes me think
1781,mmv,mileage may vary
1782,mnc,mobile network code
1783,mnf,monday night football
1784,mnt,maybe next time
1785,mo,"modus operandi "
1786,moab,mother of all bombs massive ordnance air blast
1787,moam,man on a mission
1788,moas,mother of all secrets
1789,moba,multiplayer online battle arena
1790,moc,marriage of convenience my own creation
1791,moh,my other half
1792,mol,more or less
1793,moo,matter of opinion my own opinion
1794,mopo,master of the painfully obvious
1795,moq,minimum order quantity
1796,mos,mom over shoulder
1797,mot,ministry of transport test for car safety
1798,motb,mother of the bride
1799,motd,message of the day match of the day
1800,motku,master of the known universe
1801,moto,master of the obvious
1802,motwyw,make of that what you will
1803,mou,memorandum of understanding
1804,mp,military police member of parliament
1805,mpa,music publishers association
1806,mpaa,motion picture assosciation of america
1807,mpe,my point exactly
1808,mpeg,moving picture experts group audio or visual file format
1809,mpg,miles per gallon
1810,mph,miles per hour
1811,mpo,my personal opinion
1812,mpog,multiplayer online game
1813,mpua,master pick up artist
1814,mpv,multi purpose vehicle
1815,mr,mentally retarded
1816,mre,meal ready to eat
1817,mri,magnetic resonance imaging
1818,mrp,manufacturers recommended price
1819,mrw,my reaction when
1820,msdn,microsoft developer network
1821,msdos,microsoft disk operating system
1822,ms dos,microsoft disk operating system
1823,msf,male seeking female
1824,msfam,my sister from another mister
1825,msg,message monosodium glutamate
1826,msi,"mindless self indulgence "
1827,msm,mainstream media
1828,msrp,manufacturers suggested retail price
1829,mst,mystery science theater
1830,mta,more than anything
1831,mtbf,"mean time between failures "
1832,mtbmw,may the best man win
1833,mtc,more to come
1834,mtd,month to date
1835,mte,my thoughts exactly
1836,mtf,male to female
1837,mtfbwy,may the force be with you
1838,mtg,"magic the gathering "
1839,mtlbwy,may the lord be with you
1840,mto,"media take out "
1841,mtuk,more than you know
1842,mtv,music television
1843,mtw,mums the word
1844,mtyk,more than you know
1845,mu,multi user
1846,mua,"make up alley "
1847,mud,multi user dungeon
1848,mung,mash until no good
1849,mva,motor vehicle accident
1850,mvp,most valuable player
1851,mw2,"modern warfare 2 "
1852,mw3,"modern warfare 3 "
1853,mwc,married with children
1854,mwf,married white female
1855,mwi,"mad with it "
1856,mwm,married white male
1857,mwpp,"moony wormtail padfoot and prongs "
1858,my,miss you
1859,myb,mind your business
1860,mych,maybe you can help
1861,myf,miss your  face
1862,myggwy,may your god go with you
1863,myl,miss you loads
1864,mymp,make your mama proud
1865,myob,mind your own business
1866,myodb,mind your own damn business
1867,mysm,miss you so much
1868,myt,meet you there
1869,na,not available not applicable not announced
1870,naa,not at all
1871,naacp,national association for the advancement of colored people
1872,nabd,not a big deal
1873,nac,"not a chance not a chain "
1874,nagl,not a good look
1875,nak,nursing at keyboard
1876,nal,need a life
1877,nalgas,buttocks
1878,nalgo,not a lot going on
1879,nalopkt,not a lot of people know that
1880,nambla,north american man or boy love association
1881,nap,not a problem
1882,narp,non athletic regular person
1883,naru,not a registered user
1884,nas,network attached storage
1885,nasa,national aeronautics and space administration
1886,nascar,national association for stock car auto racing
1887,nasdaq,national association of securities dealers automated quotation
1888,nasl,name age sex location
1889,natm,not at the moment
1890,nato,north atlantic treaty organization no action talk only
1891,natty,natural light beer smart good cool
1892,nb,"not bad nota bene "
1893,nba,national basketball association
1894,nbb,never been better
1895,nbc,national broadcasting company
1896,nbd,no big deal
1897,nbf,new best friend
1898,nbg,nasty but good
1899,nbif,no basis in fact
1900,nbk,natural born killers never been kissed
1901,nbm,nil by mouth not before midnight
1902,nbsb,no boyfriend since birth
1903,nbt,nothing but trouble
1904,nbtd,nothing better to do
1905,nbtw,now back to work
1906,nc,no comment no choice
1907,nc 17,"no children under 17 "
1908,ncaa,national collegiate athletic association
1909,ncb,never coming back
1910,ncis,"naval criminal investigative service "
1911,ncmo,non committal make out
1912,ncnr,non cancelable non returnable
1913,ncns,no call no show
1914,nco,non commissioned officer
1915,nda,non disclosure agreement
1916,nde,near death experience
1917,ndi,neither do i
1918,ndp,new democratic party
1919,ndr,non delivery report or receipt
1920,nds,nintendo ds
1921,nea,national education association
1922,ned,non educated delinquent
1923,nedm,not even doom music
1924,neet,not in education employment or training
1925,negl,not even going to lie
1926,negu,never ever give up
1927,nei,not enough information
1928,ner,non existent relationship
1929,nf,not funny
1930,nfa,no further action
1931,nfaa,not funny at all
1932,nfi,no freakin idea
1933,nfl,national football league
1934,nfm,no further message
1935,nfn,normal for norfolk
1936,nfs,not for sale
1937,nfsw,not for showing wife
1938,nft,no further text
1939,nfy,not fixed yet
1940,nfz,no fly zone
1941,ng,no good
1942,ngh,not going to happen
1943,ngl,not going to lie
1944,ngo,non governmental organization
1945,ngu,never give up
1946,nguns,never give up never surrender
1947,nh,"nice hand "
1948,nhb,no holding back no holds barred
1949,nhd,no harm done
1950,nhf,no hard feelings
1951,nhft,not here for that
1952,nhl,national hockey league
1953,nhn,not here now
1954,nhoi,never heard of it
1955,nhs,national health service
1956,nhtb,never heard that before
1957,ni,no idea
1958,niamy,never in a million years
1959,nib,new in box
1960,nic,network interface card
1961,nice,national institute of clinical excellence
1962,nicu,neonatal intensive care unit
1963,nid,never in doubt
1964,nik,now i know
1965,nimby,not in my back yard
1966,niml,never in my life not in my lifetime
1967,nin,nine inch nails
1968,nism,need i say more
1969,nitm,not in the mood
1970,nitw,not in that way
1971,nj,not joking nice job
1972,njpw,new japan pro wrestling
1973,nk,no kidding not known
1974,nka,no known allergies
1975,nkotb,new kid on the block
1976,nkz,no kill zone
1977,nla,no longer available
1978,nli,not logged in
1979,nlm,no laughing matter
1980,nlt,no later than
1981,nlyg,never let you go
1982,nm,never mind nothing much no message
1983,nme,"new musical express "
1984,nmf,not my fault
1985,nmg,"no mames guey "
1986,nmh,nodding my head
1987,nmhjc,not much happening just chilling
1988,nmi,need more info
1989,nmj,not my job
1990,nmjc,not much just chat
1991,nmjcu,not much just chillin you
1992,nmn,no middle name
1993,nmo,not my opinion
1994,nmp,not my problem
1995,nmr,not my responsibility
1996,nms,not my style
1997,nmt,not my type
1998,nmu,not much you
1999,nmw,no matter what
2000,nmwh,no matter what happens
2001,nmy,nice meeting you
2002,nn,night night no need not nice
2003,nnito,not necessarily in that order
2004,nnto,no need to open
2005,nntp,network news transfer protocol
2006,nntr,no need to reply
2007,noc,no one cares
2008,noi,no offense intended
2009,nok,not okay no one knows
2010,nokd,not our kind dear
2011,noly,no one likes you
2012,nom,no offence meant
2013,nomb,none of my business
2014,nos,new old stock
2015,nota,none of the above
2016,notb,none of their business
2017,notw,not of this world
2018,noyb,none of your business
2019,noydb,none of your damn business
2020,np,no problem
2021,npaa,no problem at all
2022,npc,"non player character "
2023,npi,no pun intended
2024,npnt,no picture no talk
2025,npo,never pull out
2026,npr,national public radio no purchase required
2027,npw,no problem whatsoever
2028,npz,no problems
2029,nqat,no question about that
2030,nqr,not quite right
2031,nr,no reply no reserve
2032,nra,national rifle association
2033,nre,new relationship energy
2034,nrfb,never removed from box
2035,nri,non resident indian non repairable item
2036,nrl,national rugby league
2037,nrn,no reply necessary
2038,nsa,no strings attached
2039,nsaw,not saying a word
2040,nsd,never say die
2041,nsf,not sufficient funds not so fast
2042,nsfa,not safe for anyone
2043,nsfl,not safe for life
2044,nsftbc,not sorry for the broadcast
2045,nsfv,not safe for viewing or vegetarians or vegans
2046,nsfw,not safe for work
2047,nsm,not so much
2048,nsn,not so nice
2049,nspcc,national society for prevention of cruelty to children
2050,nsw,new south wales
2051,nt,no thanks
2052,ntb,not that bothered not too bad
2053,ntbcw,not to be confused with
2054,ntd,nothing to do
2055,ntfs,new technology file system
2056,ntk,need to know
2057,ntl,nevertheless
2058,ntm,not too much nothing much
2059,ntmy,nice to meet you
2060,ntn,no thanks needed
2061,ntr,nothing to report
2062,nts,nothing to say note to self
2063,ntsc,national television system committee video standard
2064,ntsh,nothing to see here
2065,ntt,name that tune not touching that
2066,nttawwt,not that there is anything wrong with that
2067,nttu,not talking to you
2068,ntw,not to worry
2069,ntwf,neopian times writers forum
2070,nty,no thank you
2071,nus,national union of students
2072,nvms,no visible means of support
2073,nvn,not very nice
2074,nvng,nothing ventured nothing gained
2075,nw,no way
2076,nwih,no way in hell
2077,nwim,not what i mean
2078,nwj,no way jose
2079,nwly,never want to lose you
2080,nwm,no worries mate
2081,nwnc,no woman no cry
2082,nwo,new world order
2083,nwot,"new without tags "
2084,nws,not work safe for messages or sites containing adult content
2085,nwt,new with tags
2086,ny,new york
2087,nyb,not your business
2088,nyc,new york city
2089,nyd,new years day
2090,nye,new years eve
2091,nyf,not your fault
2092,nyi,not yet implemented
2093,nyk,not yet known now you know
2094,nyob,not your own business
2095,nyp,not your problem
2096,nypd,new york police department
2097,nyse,new york stock exchange
2098,nyt,not your type new york times
2099,nyu,new york university
2100,oa,over acting over achiever
2101,oan,on another note
2102,oao,over and out
2103,oap,old age pensioner
2104,oatus,on a totally unrelated subject
2105,oaus,on an unrelated subject
2106,ob,oh brother
2107,obby,oh baby
2108,obe,overcome by events out of body experience order of the british empire
2109,obhwf,one big happy weasely family
2110,obo,or best offer
2111,obq,oh be quiet
2112,obtw,oh by the way
2113,obx,outer banks north carolina
2114,oc,of course original character orange county
2115,ocd,obsessive compulsive disorder
2116,ocn,of course not
2117,oco,oh come on
2118,ocr,optical character recognition
2119,oct,on company time
2120,odaat,one day at  a time
2121,odf,own damn fault
2122,odg,oh dear god
2123,odl,oh dear lord
2124,odst,"orbital drop shock trooper "
2125,odt,on dis ting
